un étranger;a foreigner ['fɒrənə]
émigrer en Nouvelle-Zélande;to emigrate to New Zealand
immigrer en France;to immigrate to France
un exode;an exodus ['eksədəs]
un nouvel arrivant;a newcomer
pays natal, pays d'origine;native ['neɪtɪv] country, home country
un pays d’accueil;a host country [haʊst 'kʌntrɪ]
un pays d’adoption;an adoptive country, a country of adoption
accueillir;to welcome
la politique migratoire;immigration policy
immigration choisie;selective immigration, controlled immigration
l’immigration sauvage;uncontrolled immigration
les flux migratoires;migration flows [fləʊz]
l’immigration clandestine, irrégulière;illegal immigration
un immigrant clandestin, un sans-papiers;an illegal immigrant, an undocumented alien
une frontière;a border, a frontier
les contrôles aux frontières;border controls
les contrôles d'identité;identity checks
un réfugié;a refugee [ˌrefjuː'dʒiː]
se réfugier;to take refuge, take shelter
demander l’asile politique;to seek political asylum [ə'saɪləm]
un demandeur d’asile;an asylum-seeker
reconduire qn à la frontière;to escort sb back to the border
expulser qn;to deport sb
être refoulé à la frontière;to be turned away at the border
s’exiler;to go into exile [ˈekslaɪl]
un exilé;an exile
s’expatrier;to expatriate oneself
un expatrié;an expatriate, an expat
exploiter les travailleurs immigrés;to exploit migrant ['maɪgrənt] workers
un permis de travail, une carte de travail;a work permit
un permis de séjour, une carte de séjour;a residence permit, a resident permit
un travailleur migrant;a migrant worker
s’intégrer;to become integrated
se faire naturaliser américain;to be granted American citizenship, to become an American citizen
le regroupement familial;family reunion [rɪˈjuːnjən], reunification
quelqu’un qui abuse du système des prestations sociales;a benefit cheat
la fraude aux prestations sociales;benefit fraud
un mariage blanc;a sham [ʃæm] marriage
être envahi par les étrangers;to be swamped with foreigners
l’arrivée massive, l’afflux de travailleurs;the influx ['ɪnflʌks] of workers
limiter / freiner l’immigration;to restrict / curb immigration
la xénophobie;xenophobia [ˌzenə'fəʊbiə]
des immigrés de deuxième génération;second-generation immigrants
d’origine espagnole;of Spanish descent
