Qu'appelle-t-on univers d'une expérience aléatoire ?;L'univers est l'ensemble de toutes les issues possibles.
Qu'est-ce qu'un événement dans le cadre d'un univers fini ?;Un événement est une partie de l'univers \(\Omega\).
Quand dit-on que deux événements \(A\) et \(B\) sont incompatibles ?;Lorsque \(A \cap B = \emptyset\), c'est-à-dire qu'ils ne peuvent pas se réaliser en même temps (ils sont disjoints en tant qu'ensembles).
Que signifie que des événements \(A_1, \dots, A_n\) sont deux à deux incompatibles ?;Cela signifie que \(\forall (i, j) \in \{1, \dots, n\}^2\), si \(i \neq j\) alors \(A_i \cap A_j = \emptyset\).
Soit \(\Omega\) un ensemble fini. Qu'appelle-t-on système complet d'événements ?;C'est une famille finie \((A_1, \dots, A_n)\) d'événements deux à deux incompatibles dont la réunion est \(\Omega\) : \(\Omega = \bigcup_{i=1}^n A_i\). Conséquence : \(\forall \omega \in \Omega, \exists ! i \in \{1, \dots, n\}, \omega \in A_i\).
Soit \(\Omega\) un univers fini et \(E\) un ensemble. Qu'est-ce qu'une variable aléatoire sur \(\Omega\) à valeurs dans \(E\) ?;C'est une application \(X\) définie sur \(\Omega\) à valeurs dans \(E\). Lorsque \(E \subset \mathbb{R}\), on dit que \(X\) est une variable aléatoire réelle.
Soit \(\Omega\) un univers fini et \(A\) un événement. Quelle est la définition de la fonction indicatrice de \(A\) (\(\mathbb{1}_A\)) ?;C'est la variable aléatoire \(\mathbb{1}_A : \Omega \rightarrow \{0, 1\}\) définie par \(\omega \mapsto 1\) si \(\omega \in A\) et \(\omega \mapsto 0\) sinon.
Soit \(X\) une variable aléatoire sur \(\Omega\) à valeurs dans \(E\), et \(B \subset E\). Comment définit-on l'événement \((X \in B)\) ?;\((X \in B) = X^{-1}(B) = \{\omega \in \Omega \, / \, X(\omega) \in B\}\).
Soit \(X\) une variable aléatoire sur \(\Omega\) fini avec \(X(\Omega) = \{x_1, \dots, x_n\}\). Quel est le système complet d'événements associé à \(X\) ?;Les événements \((X=x_1), (X=x_2), \dots, (X=x_n)\) forment un système complet d'événements.
Quel est le système complet d'événements associé au couple de variables aléatoires \((X, Y)\) ?;Ce sont les événements de la forme \((X=x) \cap (Y=y)\), avec \(x \in X(\Omega)\) et \(y \in Y(\Omega)\).
Soit \(\Omega\) un ensemble fini. Qu'appelle-t-on probabilité sur \(\Omega\) ?;C'est une application \(P\) définie sur \(\mathcal{P}(\Omega)\) à valeurs dans \([0, 1]\), vérifiant \(P(\Omega) = 1\) et pour tous \(A, B\) tels que \(A \cap B = \emptyset\), \(P(A \cup B) = P(A) + P(B)\). L'espace \((\Omega, P)\) est un espace probabilisé fini.
Soit \((\Omega, P)\) un espace probabilisé fini. Quelles sont les formules pour \(P(\overline{A})\), \(P(\emptyset)\) et \(P(A \setminus B)\) ?;\(P(\overline{A}) = 1 - P(A)\) ; \(P(\emptyset) = 0\) ; \(P(A \setminus B) = P(A) - P(A \cap B)\) (et si \(B \subset A\), \(P(A \setminus B) = P(A) - P(B)\)).
Soit \((\Omega, P)\) un espace probabilisé fini. Quelle est la formule de \(P(A \cup B)\) ?;\(P(A \cup B) = P(A) + P(B) - P(A \cap B)\).
Soit \((\Omega, P)\) un espace probabilisé fini. Si \(A \subset B\), quelle inégalité relie \(P(A)\) et \(P(B)\) ?;\(P(A) \le P(B)\).
Soit \(A_1, \dots, A_n\) des événements deux à deux incompatibles. Quelle est la probabilité de leur réunion ?;\(P\left(\bigcup_{i=1}^{n} A_{i}\right)=\sum_{i=1}^{n} P\left(A_{i}\right)\).
Soit un événement \(A\). Comment exprimer \(P(A)\) en fonction des événements élémentaires ?;\(P(A)=\sum_{\omega \in A} P(\{\omega\})\).
Qu'est-ce que l'équiprobabilité (ou probabilité uniforme) sur un espace probabilisé fini ?;C'est la situation où tous les événements élémentaires ont la même probabilité.
Si \(P\) est la probabilité uniforme sur \(\Omega\), comment calcule-t-on \(P(A)\) ?;\(P(A)=\frac{Card(A)}{Card(\Omega)}\).
Quand dit-on que deux événements \(A\) et \(B\) sont indépendants ?;Lorsque \(P(A \cap B)=P(A) \times P(B)\).
Si \(A\) et \(B\) sont deux événements indépendants, quels sont les autres couples d'événements indépendants ?;Les couples \((A, \bar{B})\), \((\bar{A}, B)\) et \((\bar{A}, \bar{B})\).
Quand dit-on que les événements d'une famille \((A_1, \dots, A_n)\) sont mutuellement indépendants ?;Si \(\forall I \subset \{1, \ldots, n\}\), \(P\left(\bigcap_{i \in I} A_{i}\right)=\prod_{i \in I} P\left(A_{i}\right)\).
Soit \(A\) un événement de probabilité non nulle. Comment définit-on la probabilité conditionnelle de \(B\) sachant \(A\) (\(P_A(B)\)) ?;\(P_A(B) = \frac{P(A \cap B)}{P(A)}\).
À quelle condition sur \(P_A(B)\) les événements \(A\) et \(B\) sont-ils indépendants ?;Les événements \(A\) et \(B\) sont indépendants si et seulement si \(P_A(B) = P(B)\).
Que peut-on dire de l'application \(P_A\) (probabilité conditionnelle sachant \(A\)) ?;\(P_A\) est une probabilité sur \(\Omega\). Elle vérifie donc toutes les propriétés usuelles (\(P_A(\bar{B}) = 1 - P_A(B)\), \(P_A(B \cup C) = P_A(B) + P_A(C) - P_A(B \cap C)\), etc.).
Quelle est la formule des probabilités composées pour une intersection d'événements \(A_1, \dots, A_n\) ?;\(P(A_1 \cap \dots \cap A_n) = P(A_1) P_{A_1}(A_2) P_{A_1 \cap A_2}(A_3) \dots P_{A_1 \cap \dots \cap A_{n-1}}(A_n)\).
Soit \((A_1, \dots, A_n)\) un système complet d'événements. Quelle est la formule des probabilités totales pour un événement \(B\) ?;\(P(B) = \sum_{i=1}^n P(A_i \cap B) = \sum_{i=1}^n P(A_i) P_{A_i}(B)\).
Soit \((A_1, \dots, A_n)\) un système complet d'événements et \(B\) un événement. Quelle est la formule de Bayes pour \(P_B(A_{i_0})\) ?;\(P_B\left(A_{i_0}\right)=\frac{P\left(A_{i_0}\right) P_{A_{i_0}}(B)}{\sum_{i=1}^n P\left(A_i\right) P_{A_i}(B)}\).
Soit \(X\) une variable aléatoire sur \(\Omega\), et \(E=X(\Omega)\). Qu'appelle-t-on loi de \(X\) ?;C'est l'application \(P_X : \mathcal{P}(E) \rightarrow [0,1]\) définie par \(A \mapsto P(X \in A)\). C'est une probabilité sur \(E\).
Soit \(X(\Omega) = \{x_1, \dots, x_n\}\). Que valent la somme des \(P(X=x_i)\) et la probabilité \(P(X \in A)\) pour \(A \subset X(\Omega)\) ?;\(\sum_{i=1}^n P\left(X=x_i\right)=1\) et \(P(X \in A)=\sum_{x \in A} P(X=x)\).
Que signifie qu'une variable aléatoire \(X\) suit la loi uniforme sur \(E=\{x_1, \dots, x_n\}\) (\(X \sim \mathcal{U}(E)\)) ?;Cela signifie que \(P\left(X=x_i\right)=\frac{1}{n}\) pour tout \(i \in \{1, \ldots, n\}\).
Que signifie qu'une variable aléatoire \(X\) suit la loi de Bernoulli de paramètre \(p\) (\(X \sim \mathcal{B}(p)\)) ?;Cela signifie que \(X(\Omega)=\{0,1\}\) avec \(P(X=1)=p\) et \(P(X=0)=1-p\).
Que signifie qu'une variable aléatoire \(X\) suit la loi binomiale de paramètres \(n\) et \(p\) (\(X \sim \mathcal{B}(n, p)\)) ?;Cela signifie que \(X(\Omega) = \{0, ..., n\}\) et \(\forall k \in \{0, ..., n\}, P(X=k) = \binom{n}{k} p^k (1-p)^{n-k}\).
Soit \(X\) une variable aléatoire et \(g\) une fonction définie sur \(X(\Omega)\). Comment définit-on la variable aléatoire \(g(X)\) ?;Elle est définie par \(g(X) : \Omega \rightarrow F\) telle que \(\omega \mapsto g(X(\omega))\).
Comment obtient-on la loi de la variable aléatoire \(g(X)\) pour une valeur \(y\) ?;\(P(g(X) = y) = \sum_{x \in g^{-1}(\{y\})} P(X = x)\) (somme sur les \(x \in X(\Omega)\) tels que \(g(x) = y\)).
