Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), et \(\mathcal{B} = (e_1, \dots, e_n)\) une base de \(E\). Pour \(x \in E\), de coordonnées \((x_1, \dots, x_n)\) telles que \(x = \sum_{k=1}^{n} x_k e_k\). Quelle est la définition de la matrice colonne de \(x\) dans la base \(\mathcal{B}\) ?;La matrice colonne de \(x\) dans la base \(\mathcal{B}\) est définie par : \(X = \begin{pmatrix} x_1 \\ x_2 \\ \vdots \\ x_n \end{pmatrix} \in \mathcal{M}_{n,1}(\mathbb{K})\). On la note : \(X = \text{mat}_{\mathcal{B}}(x)\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), et soit \(\mathcal{B}\) une base de \(E\). Quelles sont les propriétés de l'application \(\varphi : E \to \mathcal{M}_{n,1}(\mathbb{K}), x \mapsto \text{mat}_{\mathcal{B}}(x)\) ?;L'application \(\varphi\) est un isomorphisme (elle est bijective et linéaire). Autrement dit : un vecteur de \(E\) est entièrement déterminé par sa matrice dans la base \(\mathcal{B}\), et pour tout \(x, y \in E\) et \(\lambda \in \mathbb{K}\), \(\text{mat}_{\mathcal{B}}(\lambda x + y) = \lambda \text{mat}_{\mathcal{B}}(x) + \text{mat}_{\mathcal{B}}(y)\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), \(\mathcal{B} = (e_1, \dots, e_n)\) une base de \(E\), et \((v_1, \dots, v_p)\) une famille de vecteurs de \(E\). Comment définit-on la matrice de la famille \((v_1, \dots, v_p)\) dans la base \(\mathcal{B}\) ?;Elle est définie comme la matrice de taille \(n \times p\) dont la j-ième colonne est constituée des coordonnées de \(v_j\) dans la base \(\mathcal{B}\) (\(\text{mat}_{\mathcal{B}}(v_j)\)). On la note \(\text{mat}_{\mathcal{B}}(v_1, \dots, v_p)\).
Soit \(E\) un \(\mathbb{K}\)-espace vectoriel de dimension finie \(n \in \mathbb{N}^*\), \(\mathcal{B}\) une base de \(E\), et \((v_1, \dots, v_n)\) une famille de \(n\) vecteurs de \(E\). À quelle condition matricielle cette famille forme-t-elle une base de \(E\) ?;\((v_1, \dots, v_n)\) est une base de \(E \iff \text{mat}_{\mathcal{B}}(v_1, \dots, v_n)\) est inversible.
Soient \(E\) et \(F\) des \(\mathbb{K}\)-espaces vectoriels avec \(\dim(E)=p\) et \(\dim(F)=n\). Soient \(\mathcal{B} = (e_1, \dots, e_p)\) et \(\mathcal{C} = (f_1, \dots, f_n)\) des bases respectives de \(E\) et \(F\). Pour \(u \in \mathcal{L}(E, F)\), comment définit-on la matrice de \(u\) dans les bases \(\mathcal{B}\) et \(\mathcal{C}\) ?;C'est la matrice \(A = (a_{i,j}) \in \mathcal{M}_{n,p}(\mathbb{K})\), notée \(\text{mat}_{\mathcal{B},\mathcal{C}}(u)\), dont la j-ième colonne est constituée des coordonnées de \(u(e_j)\) dans la base \(\mathcal{C}\).
Soit \(A \in \mathcal{M}_{n,p}(\mathbb{K})\). Si \(E = \mathbb{K}^p\) et \(F = \mathbb{K}^n\) sont munis de leurs bases canoniques, qu'appelle-t-on l'application linéaire canoniquement associée à \(A\) ?;C'est l'application \(u \in \mathcal{L}(\mathbb{K}^p, \mathbb{K}^n)\) telle que \(\text{mat}_{can}(u) = A\).
Soient \(E, F\) des \(\mathbb{K}\)-espaces vectoriels de dimensions \(p\) et \(n\), munis de bases \(\mathcal{B}\) et \(\mathcal{C}\). Quelles sont les propriétés de l'application \(\varphi : \mathcal{L}(E, F) \to \mathcal{M}_{n,p}(\mathbb{K}), u \mapsto \text{mat}_{\mathcal{B},\mathcal{C}}(u)\) ?;L'application \(\varphi\) est un isomorphisme. Toute application linéaire est déterminée par sa matrice, et pour tout \(u, v \in \mathcal{L}(E, F)\), \(\lambda \in \mathbb{K}\), \(\text{mat}_{\mathcal{B},\mathcal{C}}(\lambda u + v) = \lambda \text{mat}_{\mathcal{B},\mathcal{C}}(u) + \text{mat}_{\mathcal{B},\mathcal{C}}(v)\).
Soient \(E\) et \(F\) des \(\mathbb{K}\)-espaces vectoriels de dimension finie. Que peut-on dire de la dimension de l'espace \(\mathcal{L}(E, F)\) ?;\(\mathcal{L}(E, F)\) est de dimension finie et \(\dim(\mathcal{L}(E, F)) = \dim(E) \times \dim(F)\).
Soient \(u \in \mathcal{L}(E, F)\), \(x \in E\) et \(y \in F\). En notant \(A = \text{mat}_{\mathcal{B}, \mathcal{C}}(u)\) et \(X = \text{mat}_{\mathcal{B}}(x)\), quelle est la traduction matricielle de \(y = u(x)\) ?;En notant \(Y = \text{mat}_{\mathcal{C}}(y)\), on a \(Y = AX\). Autrement dit, \(\text{mat}_{\mathcal{C}}(u(x)) = \text{mat}_{\mathcal{B}, \mathcal{C}}(u) \times \text{mat}_{\mathcal{B}}(x)\).
Soient \(A\) et \(B\) des matrices de \(\mathcal{M}_{n,p}(\mathbb{K})\). Quelle équivalence a-t-on concernant le produit avec un vecteur colonne \(X \in \mathcal{M}_{p,1}(\mathbb{K})\) ?;(\(\forall X \in \mathcal{M}_{p,1}(\mathbb{K}), AX = BX\)) \(\iff A = B\) (ce qui signifie que les endomorphismes associés sont égaux).
Soient \(u \in \mathcal{L}(E, F)\) et \(v \in \mathcal{L}(F, G)\). Soient \(\mathcal{B}, \mathcal{C}, \mathcal{D}\) des bases respectives de \(E, F, G\). Quelle est la matrice de la composition \(v \circ u\) ?;\(\text{mat}_{\mathcal{B}, \mathcal{D}}(v \circ u) = \text{mat}_{\mathcal{C}, \mathcal{D}}(v) \times \text{mat}_{\mathcal{B}, \mathcal{C}}(u)\). Si \(E=F=G\) et \(\mathcal{B}=\mathcal{C}=\mathcal{D}\), on a \(\text{mat}_{\mathcal{B}}(v \circ u) = \text{mat}_{\mathcal{B}}(v) \times \text{mat}_{\mathcal{B}}(u)\).
Soient \(E\) et \(F\) des \(\mathbb{K}\)-espaces vectoriels de même dimension \(n \in \mathbb{N}^*\), avec des bases respectives \(\mathcal{B}\) et \(\mathcal{C}\). À quelle condition \(u \in \mathcal{L}(E, F)\) est-elle bijective ?;\(u\) est bijective \(\iff \text{mat}_{\mathcal{B},\mathcal{C}}(u)\) est inversible. Dans ce cas, \(\text{mat}_{\mathcal{C},\mathcal{B}}(u^{-1}) = (\text{mat}_{\mathcal{B},\mathcal{C}}(u))^{-1}\).
Soit \(A \in \mathcal{M}_n(\mathbb{K})\). À quelles conditions la matrice \(A\) est-elle inversible (à droite ou à gauche) ?;\(A\) est inversible \(\iff \exists B \in \mathcal{M}_n(\mathbb{K}), AB = I_n\) (inversible à droite) \(\iff \exists B \in \mathcal{M}_n(\mathbb{K}), BA = I_n\) (inversible à gauche). Dans ce cas, la matrice \(B\) est \(A^{-1}\).
Soit \(E\) un \(\mathbb{K}\)-ev de dimension \(n\), et \(\mathcal{B}, \mathcal{B}'\) deux bases de \(E\). Qu'appelle-t-on matrice de passage de \(\mathcal{B}\) à \(\mathcal{B}'\) (\(P_{\mathcal{B},\mathcal{B}'}\)) ?;C'est la matrice de la famille \(\mathcal{B}'\) dans la base \(\mathcal{B}\). Sa j-ème colonne est constituée des coordonnées du j-ème vecteur de \(\mathcal{B}'\) dans la base \(\mathcal{B}\).
Soient \(\mathcal{B}, \mathcal{B}', \mathcal{B}''\) des bases d'un ev \(E\) de dimension \(n \in \mathbb{N}^*\). Quelles sont les propriétés des matrices de passage ?;\(P_{\mathcal{B},\mathcal{B}} = I_n\) ; \(P_{\mathcal{B},\mathcal{B}'} \times P_{\mathcal{B}',\mathcal{B}''} = P_{\mathcal{B},\mathcal{B}''}\) ; \(P_{\mathcal{B},\mathcal{B}'}\) est inversible et \((P_{\mathcal{B},\mathcal{B}'})^{-1} = P_{\mathcal{B}',\mathcal{B}}\).
Soit \(E\) un \(\mathbb{K}\)-ev de dimension finie, et \(\mathcal{B}, \mathcal{B}'\) des bases de \(E\). Pour \(x \in E\), on note \(X = \text{mat}_{\mathcal{B}}(x)\), \(X' = \text{mat}_{\mathcal{B}'}(x)\) et \(P = P_{\mathcal{B},\mathcal{B}'}\). Quelle relation lie \(X\), \(X'\) et \(P\) ?;\(X = PX'\).
